Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YMR307W	YAL053W
Protein-Protein Interaction	YMR312W	YLR384C
Protein-Protein Interaction	YNL006W	YJL058C
Protein-Protein Interaction	YNL026W	YHR083W
Protein-Protein Interaction	YNL030W	YDR224C
Protein-Protein Interaction	YNL031C	YER169W
Protein-Protein Interaction	YNL031C	YLL022C
Protein-Protein Interaction	YNL051W	YGL005C
Protein-Protein Interaction	YNL070W	YMR203W
Protein-Protein Interaction	YNL078W	YDR510W
Protein-Protein Interaction	YNL082W	YCR092C
Protein-Protein Interaction	YNL086W	YEL005C
Protein-Protein Interaction	YNL093W	YKR014C
Protein-Protein Interaction	YNL112W	YGL120C
Protein-Protein Interaction	YNL118C	YLR438C-A
Protein-Protein Interaction	YNL118C	YEL015W
Protein-Protein Interaction	YNL131W	YGR082W
Protein-Protein Interaction	YNL147W	YCR077C
Protein-Protein Interaction	YNL147W	YER146W
Protein-Protein Interaction	YNL180C	YDR353W
Protein-Protein Interaction	YNL189W	YLR335W
Protein-Protein Interaction	YNL214W	YLR191W
Protein-Protein Interaction	YNL216W	YDR227W
Protein-Protein Interaction	YNL225C	YKL042W
Protein-Protein Interaction	YNL244C	YBR079C
Protein-Protein Interaction	YNL253W	YFR050C
Protein-Protein Interaction	YNL258C	YLR440C
Protein-Protein Interaction	YNL272C	YHR023W
Protein-Protein Interaction	YNL288W	YER068W
Protein-Protein Interaction	YNL298W	YCR088W
Protein-Protein Interaction	YNL307C	YAL038W
Protein-Protein Interaction	YNL317W	YLR277C
Protein-Protein Interaction	YNL330C	YLR113W
Protein-Protein Interaction	YNR006W	YHL002W
Protein-Protein Interaction	YNR023W	YDL042C
Protein-Protein Interaction	YNR037C	YHL004W
Protein-Protein Interaction	YNR052C	YIL038C
Protein-Protein Interaction	YOL012C	YDR224C
Protein-Protein Interaction	YOL012C	YJL019W
Protein-Protein Interaction	YOL016C	YBR109C
Protein-Protein Interaction	YOL018C	YMR197C
Protein-Protein Interaction	YOL021C	YGR195W
Protein-Protein Interaction	YOL021C	YHR069C
Protein-Protein Interaction	YOL041C	YKL172W
Protein-Protein Interaction	YOL061W	YBL068W
Protein-Protein Interaction	YOL077C	YER002W
Protein-Protein Interaction	YOL111C	YDL100C
Protein-Protein Interaction	YOL115W	YNL262W
Protein-Protein Interaction	YOL130W	YFL050C
Protein-Protein Interaction	YOL139C	YGR162W
Protein-Protein Interaction	YOL139C	YGR252W
Protein-Protein Interaction	YOL147C	YDL065C
Protein-Protein Interaction	YOL147C	YLR191W
